연도,분기,지역,평균,중앙값,분산
2021,4,경북,58.01717948717949,56.94,82.51159973009443
2022,1,경북,65.11666666666666,67.82,110.51614912280701
2022,2,경북,58.9676923076923,62.9,130.29519190283395
2022,3,경북,36.11153846153846,36.1,27.527265991902823
2022,4,경북,59.06282051282053,58.44,55.363089203778685
2023,1,경북,61.90307692307692,62.11,25.529421862348176
2023,2,경북,51.5148717948718,50.27,10.325878272604589
2023,3,경북,39.66564102564103,40.56,32.85223049932523
2023,4,경북,60.46179487179488,61.41,42.27618353576248
2018,1,전북,54.11933333333334,54.425,34.39815126436782
2018,2,전북,49.484666666666655,47.405,23.368791264367815
2018,3,전북,52.245999999999995,53.765,45.93443172413792
2018,4,전북,58.06533333333333,59.775000000000006,26.05068091954023
2019,1,전북,58.21100000000001,56.835,13.827761034482755
2019,2,전북,52.92400000000001,48.9,87.09470758620691
2019,3,전북,39.412,39.295,63.79147172413793
2019,4,전북,54.119,55.195,27.32900931034482
2020,1,전북,52.11366666666667,56.715,133.5408240229885
2020,2,전북,52.36266666666666,48.06999999999999,160.76469609195405
2020,3,전북,32.36966666666667,35.965,136.23299643678163
2020,4,전북,55.63700000000001,55.615,34.75116655172413
2021,1,전북,53.77231884057971,55.88,103.93419454390452
2021,2,전북,49.92499999999998,47.864999999999995,34.33483275862069
2021,3,전북,40.169,40.35,21.78365068965518
2021,4,전북,53.286333333333324,53.315,46.747844712643676
2022,1,전북,55.976333333333336,56.165,65.4631205747126
2022,2,전북,57.10033333333333,63.34,157.04708609195404
2022,3,전북,38.006,38.36,47.13118344827586
2022,4,전북,57.61833333333333,59.03,58.450717816091974
2023,1,전북,59.275333333333336,59.03,24.951149885057475
2023,2,전북,46.944,47.28,10.202259310344827
2023,3,전북,40.26466666666666,40.525,74.14628781609196
2023,4,전북,49.14233333333334,49.015,133.42976333333334
2018,1,전남,54.34690476190475,55.129999999999995,44.368353600464566
2018,2,전남,46.809761904761906,47.94,45.6821731126597
2018,3,전남,48.92714285714286,48.269999999999996,77.24476236933799
2018,4,전남,58.8007142857143,61.215,81.8265482578397
2019,1,전남,58.2897619047619,59.325,45.94323164924507
2019,2,전남,52.71809523809524,49.09,78.91092311265967
2019,3,전남,40.903414634146344,39.59,87.16496304878049
2019,4,전남,57.181282051282054,58.0,35.78052726045883
2020,1,전남,53.69102564102565,55.65,110.27211470985154
2020,2,전남,53.279487179487184,47.35,136.99881025641025
2020,3,전남,34.67923076923077,40.44,168.0817493927125
2020,4,전남,58.75589743589744,58.73,58.60511956815113
2021,1,전남,56.224615384615376,57.16,28.681267611336036
2021,2,전남,53.02025641025641,52.02,32.99141835357625
2021,3,전남,40.40461538461538,42.15,39.04538866396761
2021,4,전남,58.500256410256405,58.96,46.902523616734165
2022,1,전남,58.777179487179495,60.7,84.89095236167341
2022,2,전남,53.72358974358974,58.81,166.91201309041836
2022,3,전남,40.350512820512826,41.27,27.07442604588394
2022,4,전남,59.94179487179488,60.26,70.5397519568151
2023,1,전남,58.385641025641014,58.96,22.03516734143051
2023,2,전남,44.552564102564105,43.4,13.038893252361675
2023,3,전남,40.67487179487179,44.59,195.70804143049932
2023,4,전남,52.09333333333334,56.13,146.84132807017542
2018,1,제주,44.729166666666664,46.87,75.39275378787877
2018,2,제주,41.77166666666667,40.26,83.36372424242424
2018,3,제주,52.340833333333336,54.24,125.72429924242424
2018,4,제주,49.20333333333334,53.955,214.52789696969697
2019,1,제주,47.67083333333334,49.39,66.48049924242423
2019,2,제주,53.00833333333333,50.81,41.928851515151514
2019,3,제주,40.47083333333334,40.355000000000004,78.87419015151515
2019,4,제주,51.48833333333334,51.655,151.5038696969697
2020,1,제주,45.02583333333333,50.68,196.50133560606056
2020,2,제주,50.96833333333333,46.45,197.9860515151516
2020,3,제주,41.39,43.655,139.7239818181818
2020,4,제주,53.30500000000001,53.6,110.6141909090909
2021,1,제주,48.87666666666667,50.64,51.28676969696971
2021,2,제주,53.10166666666667,54.075,42.0763606060606
2021,3,제주,41.71333333333333,40.58,19.26184242424243
2021,4,제주,56.42416666666666,60.894999999999996,124.30426287878787
2022,1,제주,44.89166666666667,46.685,83.18443333333333
2022,2,제주,51.22083333333333,55.81999999999999,146.52662651515152
2022,3,제주,47.301666666666655,48.58,90.5854696969697
2022,4,제주,49.4325,52.019999999999996,230.53451136363637
2023,1,제주,46.4275,50.225,89.41051136363639
2023,2,제주,42.004999999999995,39.295,57.926972727272734
2023,3,제주,44.95333333333334,51.72,309.8108424242424
2023,4,제주,47.93,46.769999999999996,304.46376363636364
