연도,분기,지역,이산화황_평균,이산화질소_평균,오존_평균,일산화탄소_평균,미세먼지_평균,초미세먼지_평균,이산화황_분산,이산화질소_분산,오존_분산,일산화탄소_분산,미세먼지_분산,초미세먼지_분산
2019,4,제주,0.0018333333333333335,0.009666666666666665,0.0395,0.2833333333333334,34.5,15.5,1.388888888888889e-07,1.0555555555555554e-05,1.291666666666666e-05,0.004722222222222222,28.916666666666668,1.5833333333333333
2020,1,서울,0.0033333333333333335,0.031,0.019666666666666666,0.6,42.666666666666664,27.333333333333332,2.2222222222222224e-07,8.666666666666671e-06,2.9555555555555553e-05,0.006666666666666664,2.888888888888889,2.8888888888888893
2020,1,경기,0.003333333333333334,0.02536559139784947,0.02224731182795699,0.5376344086021506,45.946236559139784,28.161290322580644,5.878136200716846e-07,4.965128916637761e-05,4.339044976297839e-05,0.011809457740779277,21.4057116429645,17.59764134582032
2020,1,강원,0.0027037037037037043,0.012074074074074074,0.02883333333333333,0.487037037037037,34.907407407407405,22.64814814814815,7.270233196159121e-07,1.9105624142661176e-05,5.5768518518518506e-05,0.008906035665294923,45.898834019204386,36.33916323731138
2020,1,충북,0.003090909090909091,0.017939393939393943,0.02421212121212121,0.5666666666666667,42.7,29.545454545454547,2.0385674931129476e-07,2.47842056932966e-05,4.998530762167126e-05,0.013131313131313131,12.609999999999998,12.550964187327821
2020,1,충남,0.003377777777777778,0.015666666666666666,0.026200000000000005,0.4777777777777778,45.06666666666667,29.22222222222222,5.017283950617285e-07,1.5155555555555555e-05,4.767111111111112e-05,0.006172839506172838,22.106666666666666,21.683950617283948
2020,1,전북,0.002880952380952381,0.012833333333333334,0.02897619047619047,0.4309523809523809,37.31707317073171,24.904761904761905,4.382086167800453e-07,1.48531746031746e-05,6.878514739229025e-05,0.00451814058956916,33.87507436049971,24.89569160997732
2020,1,전남,0.0030151515151515154,0.010484848484848484,0.031242424242424238,0.44090909090909086,33.13636363636363,19.439393939393938,5.906795224977042e-07,9.704315886134069e-06,4.8516988062442615e-05,0.01393250688705234,24.9965564738292,17.246326905417813
2020,1,경북,0.003827586206896552,0.012440677966101694,0.031135593220338983,0.4610169491525424,32.85964912280702,20.363636363636363,3.384066587395956e-06,1.824648089629417e-05,4.337144498707268e-05,0.018310830221200808,38.646968297937825,22.26776859504133
2020,1,경남,0.0031666666666666675,0.015148148148148148,0.030092592592592587,0.4425925925925925,30.5,18.38888888888889,2.1296296296296306e-07,1.7533607681755827e-05,4.078772290809328e-05,0.0050377229080932765,12.287037037037036,9.31172839506173
2020,1,제주,0.0015000000000000002,0.01,0.03983333333333334,0.3666666666666667,34.333333333333336,18.333333333333332,2.5e-07,9.666666666666667e-06,1.647222222222222e-05,0.005555555555555557,11.888888888888891,4.888888888888889
2020,2,서울,0.0030000000000000005,0.02,0.038,0.4000000000000001,38.333333333333336,20.333333333333332,1.88079096131566e-37,6.666666666666679e-07,1.8666666666666652e-05,3.0814879110195774e-33,16.222222222222225,0.8888888888888888
2020,2,경기,0.002935483870967742,0.015311827956989252,0.04190322580645161,0.40537634408602136,41.193548387096776,19.698924731182796,6.625043357613597e-07,2.0279107411261417e-05,2.675407561567811e-05,0.0033044282576020338,33.510926118626436,9.801826800786218
2020,2,강원,0.0023888888888888887,0.0076851851851851855,0.0427962962962963,0.36296296296296293,34.44444444444444,17.166666666666668,4.969135802469137e-07,6.734224965706447e-06,2.9680727023319606e-05,0.004924554183813445,33.32098765432099,12.138888888888891
2020,2,충북,0.003125,0.00978125,0.04215625,0.39375,37.233333333333334,20.15625,3.5937500000000005e-07,5.795898437499999e-06,1.7069335937499995e-05,0.0018359375000000005,35.845555555555556,8.0693359375
2020,2,충남,0.003177777777777778,0.009133333333333334,0.04251111111111112,0.3955555555555555,38.15555555555556,19.444444444444443,5.017283950617284e-07,5.67111111111111e-06,2.3094320987654323e-05,0.005313580246913581,34.798024691358016,8.824691358024694
2020,2,전북,0.0026190476190476194,0.008428571428571428,0.04502380952380952,0.3452380952380953,36.26190476190476,20.595238095238095,4.263038548752834e-07,6.9591836734693865e-06,2.597562358276644e-05,0.005810657596371883,20.764739229024944,10.621882086167801
2020,2,전남,0.0028787878787878787,0.006909090909090908,0.041939393939393936,0.39090909090909093,30.53030303030303,15.636363636363637,5.913682277318641e-07,5.415977961432506e-06,5.4541781450872366e-05,0.009311294765840222,36.12786960514234,8.47382920110193
2020,2,경북,0.003391304347826087,0.008057971014492755,0.04604347826086956,0.355072463768116,32.68115942028985,15.927536231884059,1.3106490233144297e-06,7.329972694812012e-06,1.5693761814744806e-05,0.006822096198277673,27.753413148498215,10.762864944339425
